000001 TESTUSER QSAM SAMPLE RECORD 01 CUSTOMER=00010001 STATUS=ACTIVE           
000002 TESTUSER QSAM SAMPLE RECORD 02 CUSTOMER=00010002 STATUS=ACTIVE           
000003 TESTUSER QSAM SAMPLE RECORD 03 CUSTOMER=00010003 STATUS=HOLD             
000004 TESTUSER QSAM SAMPLE RECORD 04 CUSTOMER=00010004 STATUS=ACTIVE           
000005 TESTUSER QSAM SAMPLE RECORD 05 CUSTOMER=00010005 STATUS=CLOSED           
000006 TESTUSER QSAM SAMPLE RECORD 06 CUSTOMER=00010006 STATUS=ACTIVE           
000007 TESTUSER QSAM SAMPLE RECORD 07 CUSTOMER=00010007 STATUS=ACTIVE           
000008 TESTUSER QSAM SAMPLE RECORD 08 CUSTOMER=00010008 STATUS=HOLD             
000009 TESTUSER QSAM SAMPLE RECORD 09 CUSTOMER=00010009 STATUS=ACTIVE           
000010 TESTUSER QSAM SAMPLE RECORD 10 CUSTOMER=00010010 STATUS=ACTIVE           
